
Index	Nounce	Data	Hash	Prev. hash	Proof of Work
21	17822251	Kristian:join	000000b5e02c26b10344fc9a08abd28a0f1c405496e1a796820931997e1301a3	0000002767094cd679169bbafc8749ac82b40bf1b71a6d25b7684ab90439d5b0	true
22	14289146	Jens:leave	0000002767094cd679169bbafc8749ac82b40bf1b71a6d25b7684ab90439d5b0	0000007a8e635cdfcca7ab415558179f21224bdb89a6e7b577f84333d2ed0507	true
23	15728780	Emmely:leave	0000007a8e635cdfcca7ab415558179f21224bdb89a6e7b577f84333d2ed0507	00000001a80d5255e2ad2bf701d4f3011aee1cb081861214dd2dfa3c8eeb3a17	true
24	12650147	Tine:join	00000001a80d5255e2ad2bf701d4f3011aee1cb081861214dd2dfa3c8eeb3a17	00000061338474c4ec43621d5e375a188331551e783c6f67c8f354bd29105600	true
25	7827383	Tine:leave	00000061338474c4ec43621d5e375a188331551e783c6f67c8f354bd29105600	0000003c32e2ed3c94c1f6f6736bb5d89a85cf2272e91ccc7d1c3e5cdb7154aa	true
26	3822045	Emmely:join	0000003c32e2ed3c94c1f6f6736bb5d89a85cf2272e91ccc7d1c3e5cdb7154aa	000000e315110ec384c445f8d48f59672b7d77a2b507ed26b3060d3ba8c559c8	true
27	19699824	Daniel:join	000000e315110ec384c445f8d48f59672b7d77a2b507ed26b3060d3ba8c559c8	0000000b2a7976773070940b186a2d6fb5107ad89f91ebafe6e9143e14174c74	true
28	8798313	Tine:join	0000000b2a7976773070940b186a2d6fb5107ad89f91ebafe6e9143e14174c74	000000972ee4d8cb75c9deee11e040eae82d6b59ece97d516e778ce17ed22e98	true
29	8817323	Kristian:leave	000000972ee4d8cb75c9deee11e040eae82d6b59ece97d516e778ce17ed22e98	000000266f4d27291133614be1dcc4f46c1331641c3e56405859175cfe0651a5	true
2a	7036809	Anders:join	000000266f4d27291133614be1dcc4f46c1331641c3e56405859175cfe0651a5	000000b50a6e3b69aa32c0280f103b25a94fd40f56bcd2427306236d6807fe4b	true
2b	5189753	Tine:leave	000000b50a6e3b69aa32c0280f103b25a94fd40f56bcd2427306236d6807fe4b	000000500a0d3361542448023b7907928422a2af4d2adf82284bf8f749d53702	true
2c	21652352	Emmely:leave	000000500a0d3361542448023b7907928422a2af4d2adf82284bf8f749d53702	0000002767f2a406fd1753dba06c988cf2d008401783ac2381817b102380d8bc	true
2d	30133191	Kristian:join	0000002767f2a406fd1753dba06c988cf2d008401783ac2381817b102380d8bc	0000009f29aa55365735f1aa6af4aacf7dd4087ba85f95797d4b280fd497d0d3	true
2e	1004143	Daniel:leave	0000009f29aa55365735f1aa6af4aacf7dd4087ba85f95797d4b280fd497d0d3	0000003830a6d891d7f16c833c5d5e227988a5d5f8eb34a4467481e7f0b3d52f	true
2f	3788455	Anders:leave	0000003830a6d891d7f16c833c5d5e227988a5d5f8eb34a4467481e7f0b3d52f	0000008bf31fb5148d37c9fcbcf5d62ee3dae343613365258fe49d16c17a6191	true
30	27154842	Helge:join	0000008bf31fb5148d37c9fcbcf5d62ee3dae343613365258fe49d16c17a6191	000000fc0e8a881c7f0c8e5bf49ade8597a1e47039a4c80df2ad763873009d61	true
31	40937665	Kristian:leave	000000fc0e8a881c7f0c8e5bf49ade8597a1e47039a4c80df2ad763873009d61	0000005b4337a2eb48b6c38de4c1496e044670ee5b595581b7c8350ee789e902	true
32	6705298	Emmely:join	0000005b4337a2eb48b6c38de4c1496e044670ee5b595581b7c8350ee789e902	0000005b7019fb6e29ecc780e9e6817e704718fdd33fb2ce0139f4f60619ec48	true
33	4871884	Tine:join	0000005b7019fb6e29ecc780e9e6817e704718fdd33fb2ce0139f4f60619ec48	000000005806db88fb694c261955c731bcd850313dc4a9346790ce0413555a70	true
34	24405470	Jens:join	000000005806db88fb694c261955c731bcd850313dc4a9346790ce0413555a70	000000abba16d66fef6c7e369d14413ec0f4d383fcfadd5a8b5d953df89c5162	true
35	6764428	Anders:join	000000abba16d66fef6c7e369d14413ec0f4d383fcfadd5a8b5d953df89c5162	000000c134b1699c6c375e782ab13d2fe737bae6dd58bccd71aa8ddcc41a882d	true
36	1482997	Daniel:join	000000c134b1699c6c375e782ab13d2fe737bae6dd58bccd71aa8ddcc41a882d	000000f5071c595cd93a2172251192c30bdb77a13cc14c2f7d54e348b06d7c7e	true
37	508710	Kristian:join	000000f5071c595cd93a2172251192c30bdb77a13cc14c2f7d54e348b06d7c7e	000000e3177f33d259964ee4c63ef966115d2bac29b6afa6dc250b69432edf34	true
38	15379044	Helge:leave	000000e3177f33d259964ee4c63ef966115d2bac29b6afa6dc250b69432edf34	000000b2d96ae78448b92050b3a69cff0fc43d7ce6df55551eb6166534ba823b	true
39	5115031	Tine:leave	000000b2d96ae78448b92050b3a69cff0fc43d7ce6df55551eb6166534ba823b	000000ad3df7961b38e26bfb835a66b21abcf4f99b0b94673c0dccc547f3db62	true
3a	6477164	Anders:leave	000000ad3df7961b38e26bfb835a66b21abcf4f99b0b94673c0dccc547f3db62	000000cde81ebaa186e960ee1e6718259ebd63a2e0751a09f9862cb885d3d354	true
3b	23517809	Emmely:leave	000000cde81ebaa186e960ee1e6718259ebd63a2e0751a09f9862cb885d3d354	000000de42057894f57f3da86dd7029d0989da64f3f2be3d4b17836ad2742247	true
